id,status_group
34052,1
24314,0
56934,0
12963,0
32818,0
3715,0
43871,1
56432,0
22532,0
53584,0
62053,1
65807,1
37483,0
59673,1
2398,0
86,1
38467,0
22668,2
11431,0
22404,0
11583,2
28020,1
25799,1
17544,0
55419,0
33850,0
17093,0
33782,0
33193,0
35489,1
60863,0
30877,1
56703,1
12308,0
6968,1
4142,0
59803,0
5698,0
69910,0
36476,1
1924,1
8967,1
37677,0
25386,0
9796,0
40372,1
57579,1
29173,0
10127,0
30348,2
4059,1
4040,0
23560,0
67022,0
31965,1
272,0
7074,1
17007,1
46711,1
68670,0
35621,0
62029,0
44555,0
21234,1
5815,0
11180,1
69345,0
34598,0
5716,0
42686,0
36520,1
13670,0
20326,0
69304,0
29229,1
51993,1
32910,0
37492,0
13430,1
26402,0
50662,0
69427,1
35883,1
53054,0
31473,1
59562,0
51943,0
29186,0
26522,0
22276,0
46717,1
71655,0
54283,0
41895,1
72087,0
38229,0
58844,0
49805,0
71625,0
30494,2
25990,1
14904,0
27731,0
64057,1
45691,0
15453,1
1236,0
29827,1
50493,0
31773,1
52923,0
62066,0
70980,0
26933,1
3397,0
19332,0
54061,1
37810,2
52319,1
15953,0
71669,0
43813,1
59752,0
17518,1
37990,0
25327,0
19437,2
69034,0
29123,0
4372,0
45057,1
26834,1
56574,1
42687,1
7070,0
58709,1
48583,1
52775,0
52825,0
13711,2
47568,0
57834,0
70754,1
20592,1
20222,0
54211,0
62181,1
5414,0
29478,0
58104,0
64652,0
49036,0
31935,0
29048,0
58147,0
17196,1
42278,0
49615,1
16847,1
9619,0
2575,1
45876,0
44730,1
12967,0
46853,0
47533,1
16519,0
71418,1
49168,0
46871,0
21796,1
58632,0
11630,2
68332,0
49970,0
25409,0
2989,0
20310,0
20784,2
72458,0
6307,1
2837,1
21638,0
33706,0
60522,2
69420,0
44268,0
64996,0
71122,0
70051,0
10308,0
24792,1
12493,1
5373,0
22585,1
53155,1
29107,1
63564,0
4291,1
50121,1
73143,0
14480,1
21841,0
61476,0
46474,0
10819,0
42701,1
19361,0
21912,0
70569,0
8740,0
63911,1
501,0
53601,1
15168,0
11898,0
30672,0
14494,1
36684,0
67136,0
44694,2
956,1
41239,0
11394,2
9875,0
60605,1
6131,0
21411,0
40134,0
57695,0
57131,1
16668,1
57806,0
11915,1
12841,0
52155,1
29648,1
4662,0
60086,0
31411,0
8071,0
14036,0
59297,0
26255,0
44040,1
60145,0
13555,1
64211,1
28970,1
66349,1
52287,0
9804,2
10822,0
43207,1
20060,0
34632,0
13328,1
64030,0
10535,0
56861,0
62058,0
69817,1
72569,1
62784,1
26142,1
43501,1
67894,0
34599,0
27011,1
8022,0
50457,1
15369,0
41023,1
46473,0
71879,1
6883,0
26793,0
61147,1
5396,0
41851,0
48907,0
872,0
20235,1
69357,2
12473,0
10932,0
54087,1
302,0
65750,1
10803,0
13406,0
17478,0
50078,0
740,0
67319,0
6948,0
9696,0
64289,1
49796,1
70227,1
61433,1
39812,2
43458,0
66002,0
20467,0
29938,0
41739,0
28758,2
13199,1
26449,0
30126,1
71397,1
64711,1
51347,1
35522,0
43413,0
2219,1
32502,0
31102,0
68038,1
16628,1
13914,0
43028,1
19469,1
67391,0
67714,0
30804,0
8350,0
3764,1
64745,2
12039,0
7232,0
66590,1
29018,0
33395,0
6317,1
54698,0
2913,1
21734,0
54914,0
62762,0
41272,0
56882,0
50517,0
51126,0
50279,1
23053,0
25461,1
56859,0
71797,0
46910,1
43772,2
21316,1
42609,1
39055,0
8762,1
50056,1
58832,0
37829,1
39669,0
29144,0
44808,1
28067,0
72764,1
6003,0
14981,1
69248,1
19131,0
48464,0
4034,1
1181,0
48332,1
14743,1
37974,0
7020,0
2560,0
48386,0
